City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,namibe,-15.1961,12.1522,295.63,69,39,2.35,AO,1702323940
247,tshikapa,-6.4167,20.8,295.0,98,99,1.14,CD,1702323940
248,marsabit,2.3284,37.9899,294.84,56,100,4.52,KE,1702323941
249,la ronge,55.1001,-105.2842,263.29,57,40,11.32,CA,1702323941
250,talara,-4.5772,-81.2719,301.57,57,0,3.09,PE,1702323941
251,santo antonio do ica,-3.1022,-67.9397,302.5,82,85,0.88,BR,1702323941
252,kudymkar,59.0173,54.656,243.51,92,99,2.85,RU,1702323941
253,basford,52.9667,-1.1833,281.12,84,75,2.57,GB,1702323942
254,rabo de peixe,37.8,-25.5833,287.88,82,40,3.6,PT,1702323942
255,taltal,-25.4,-70.4833,294.18,61,30,2.58,CL,1702323704
256,lamu,-2.2717,40.902,299.58,88,100,3.67,KE,1702323942
257,dabrowa bialostocka,53.6536,23.3479,275.01,99,100,5.66,PL,1702323942
258,tabora,-5.0167,32.8,293.03,94,75,0.0,TZ,1702323942
259,tevriz,57.509,72.4042,241.41,98,6,1.64,RU,1702323942
260,lethem,3.3803,-59.7968,310.05,30,65,4.9,GY,1702323943
261,port augusta,-32.5,137.7667,291.97,59,50,2.05,AU,1702323943
262,roxas,11.5853,122.7511,297.12,87,96,3.81,PH,1702323943
263,burutu,5.3509,5.5076,300.87,75,92,2.46,NG,1702323943
264,dezhou,37.4486,116.2925,270.59,87,100,1.3,CN,1702323943
265,nelson bay,-32.7167,152.15,294.82,97,4,1.79,AU,1702323944
266,nadi,-17.8,177.4167,296.15,73,20,2.57,FJ,1702323944
267,mhamid,29.82,-5.72,291.07,31,26,2.65,MA,1702323944
268,mweka,-4.85,21.5667,294.06,98,92,0.68,CD,1702323944
269,plettenberg bay,-34.0527,23.3716,289.27,85,0,2.56,ZA,1702323944
270,sinop,41.7711,34.8709,280.56,80,97,1.79,TR,1702323944
271,gardez,33.5974,69.2259,273.05,43,0,1.6,AF,1702323945
272,barbezieux-saint-hilaire,45.4726,-0.1522,287.3,94,100,5.06,FR,1702323945
273,kingston,17.997,-76.7936,304.4,67,20,7.72,JM,1702323731
274,ambodifotatra,-16.9833,49.85,299.45,82,3,1.76,MG,1702323945
275,westport,41.1415,-73.3579,279.9,64,100,7.72,US,1702323945
276,saint-francois,46.4154,3.9054,286.84,80,100,7.2,FR,1702323945
277,hithadhoo,-0.6,73.0833,301.18,75,18,2.29,MV,1702323945
278,toliara,-23.35,43.6667,299.71,69,99,3.48,MG,1702323946
279,sengkang,-4.1279,120.0297,297.85,92,100,1.11,ID,1702323946
280,arteche,12.2645,125.4048,298.53,90,78,2.68,PH,1702323946
281,papao,-17.75,-149.55,301.97,81,90,11.0,PF,1702323946
282,shilka,51.85,116.0333,239.47,100,31,0.68,RU,1702323946
283,arvayheer,46.2639,102.775,258.43,98,100,1.84,MN,1702323946
284,volcan,8.7667,-82.6333,297.21,62,99,0.45,PA,1702323688
